Caller,Time
GenerateTriangles,832427
GenerateColorArray,261586
GenerateUV,67446585
SpawnPlants,4818946
SpawnObjects,30411
StartRecord,1114532234
GenerateGraph,1794016
GenerateTriangles,831150
GenerateColorArray,258173
GenerateUV,59782900
SpawnPlants,4788135
SpawnObjects,30631
StartRecord,1117070843
GenerateGraph,2194598
GenerateTriangles,798009
GenerateColorArray,253688
GenerateUV,112677598
SpawnPlants,4511693
SpawnObjects,31794
StartRecord,1117131921
GenerateGraph,2146249
GenerateTriangles,807344
GenerateColorArray,255505
GenerateUV,107079224
SpawnPlants,4647558
SpawnObjects,28674
